Designator,Mid X,Mid Y,Rotation,Layer
120R1,141.0,-120.3363,90.0,top
C1,189.0,-98.7875,270.0,top
C10,139.9625,-126.5,180.0,top
C11,147.75,-109.625,90.0,top
C12,141.7125,-111.6625,0.0,top
C13_2,166.4375,-130.475,180.0,top
C13,166.4375,-127.475,180.0,top
C14,173.4,-125.8,90.0,top
C15,124.5375,-93.5,180.0,top
C16,125.0,-97.4625,270.0,top
C2,198.6,-102.8625,90.0,top
C3,163.25,-113.125,270.0,top
C4,163.75,-103.7,270.0,top
C5,152.9625,-100.825,0.0,top
C6,161.25,-113.125,270.0,top
C7,149.2125,-103.6625,180.0,top
C8,149.75,-109.625,90.0,top
C9,139.9625,-119.46,180.0,top
D1,195.8875,-110.825,0.0,top
D2,156.2,-129.8,90.0,top
D3,158.2,-129.8,90.0,top
D4,160.2,-129.8,90.0,top
J1,160.5,-83.09,180.0,top
J2,195.56,-88.825,90.0,top
J3,183.77,-131.0,0.0,top
J5,102.5,-90.81,90.0,top
R1,195.825,-108.825,0.0,top
R10,181.08,-128.0,0.0,top
R11,181.08,-126.0,0.0,top
R12,108.5,-93.5,90.0,top
R2,110.1,-107.0,0.0,top
R3,151.451,-127.93,270.0,top
R4,158.2,-125.9,90.0,top
R5,185.5,-87.825,270.0,top
R6,162.27,-89.09,180.0,top
R7,162.27,-87.09,180.0,top
R8,189.5,-93.825,270.0,top
R9,189.5,-85.325,90.0,top
SW1,129.25,-116.85,0.0,top
SW2,103.25,-107.0,270.0,top
TH1,151.451,-123.2,270.0,top
U1,194.0,-102.825,90.0,top
U2,156.75,-107.1625,270.0,top
U3,170.2,-128.6,180.0,top
U5,117.5,-93.0,180.0,top
Y1,141.75,-108.1625,0.0,top
